id,cant_victimas,fecha,anio,mes,dia,hora,hora_int,dir,tipo_calle,calle,alt,cruce,dir_normalizada,comuna,point,longitud,latitude,victima,acusado
2017-0109,1,2017-09-04,2017,9,4,21:00:00,21,Av. Directorio Y Portela,Avenida,DIRECTORIO AV.,0,Portela,Directorio Av. Y Portela,7,Point (99266.22533505 99180.83096967),-58.47130269,-34.63665402,Moto,Auto
2017-0110,1,2017-09-06,2017,9,6,14:15:00,14,Lavalle Y Av. Leandro N Alem,Avenida,LAVALLE,0,"Alem, Leandro N. Av.","Lavalle Y Alem, Leandro N. Av.",1,Point (108513.43549456 103032.95078343),-58.37048800,-34.60189492,Peaton,Pasajeros
2017-0111,1,2017-09-07,2017,9,7,18:23:37,18,Uspallata Y Pirovano,Calle,USPALLATA,0,Pirovano,Uspallata Y Pirovano,4,Point (103948.02389064 98549.15451723),-58.42023854,-34.64234110,Peaton,Cargas
2017-0112,2,2017-09-10,2017,9,10,09:32:17,9,Au 25 De Mayo Y Av. Varela,Autopista,AUTOPISTA 25 DE MAYO,0,Nan,Autopista 25 De Mayo Y Varela Av.,7,Point (100479.14412395 98812.52258620),-58.45807401,-34.63997430,Auto,Objeto Fijo
2017-0113,1,2017-09-11,2017,9,11,06:30:00,6,Av. Santa Fe Y Maipu,Avenida,SANTA FE AV.,0,Maipu,Santa Fe Av. Y Maipu,1,Point (107918.77617420 103716.42961253),-58.37697717,-34.59573848,Peaton,Pasajeros
2017-0114,1,2017-09-15,2017,9,15,02:30:00,2,Av. Alvear Y Av. Del Libertador,Avenida,ALVEAR AV.,0,Del Libertador Av.,Alvear Av. Y Del Libertador Av.,2,Point (106632.70892338 104910.17381357),-58.39100580,-34.58498660,Auto,Objeto Fijo
2017-0115,1,2017-09-19,2017,9,19,18:52:33,18,Av. Pavon Y Treinta Y Tres Orientales,Avenida,PAVON AV.,0,Treinta Y Tres Orientales,Pavon Av. Y Treinta Y Tres Orientales,5,Point (103803.42869640 99818.79654291),-58.42182126,-34.63089661,Moto,Bicicleta
2017-0116,1,2017-09-20,2017,9,20,22:24:00,22,Colectora Av. Gral. Paz 5750,Avenida,"PAZ, GRAL. AV.",5750,Nan,"Paz, Gral. Av. 5750",12,Point (95357.86744200 105380.41895972),-58.51389422,-34.58075791,Moto,Objeto Fijo
2017-0118,1,2017-09-22,2017,9,22,07:02:09,7,Vieytes Y Cruz,Avenida,VIEYTES,0,"Cruz, Osvaldo Av.","Vieytes Y Cruz, Osvaldo Av.",4,Point (108016.39016447 97439.36817481),-58.37585415,-34.65232158,Moto,Auto
2017-0120,1,2017-10-02,2017,10,2,15:55:33,15,Au Dellepiane Y Av. Escalada,Autopista,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,0,Escalada Av.,Autopista Dellepiane Luis Tte. Gral. Y Escalada Av.,9,Point (99113.17852207 96319.06728520),-58.47297505,-34.66245085,Moto,Cargas
